EVOLUTION|INITIALPOP TIME|SELECTION TIME|CROSSOVER TIME|LOCALSEARCH TIME
518|1.090112|0.299712|5.115584|2.633120
519|1.090112|0.297120|4.019328|2.566560
520|1.090112|0.300000|4.700320|2.593344
521|1.090112|0.294880|3.964032|2.652928
522|1.090112|0.297344|4.078656|2.675200
523|1.090112|0.300160|5.007584|2.643744
524|1.090112|0.299520|4.810144|2.596640
525|1.090112|0.297344|4.744704|2.773344
526|1.090112|0.296928|5.219712|2.539904
527|1.090112|0.302688|4.949440|2.599168
528|1.090112|0.300352|4.951552|2.720032
529|1.090112|0.296032|5.171936|2.672128
530|1.090112|0.295488|4.271968|2.622048
531|1.090112|0.299776|4.929216|2.616192
532|1.090112|0.300064|5.088928|2.689344
533|1.090112|0.295872|4.803776|2.621600
534|1.090112|0.299040|4.868000|2.595008
535|1.090112|0.297472|4.748832|2.722816
536|1.090112|0.297824|4.916672|2.643968
537|1.090112|0.297248|4.654464|2.700000
538|1.090112|0.294528|5.042464|2.645120
539|1.090112|0.301120|4.967552|2.606944
540|1.090112|0.302624|4.990624|2.653920
541|1.090112|0.303904|4.903552|2.586240
542|1.090112|0.298560|4.917536|2.595200
543|1.090112|0.301152|4.751808|2.598656
544|1.090112|0.301504|4.909472|2.628000
545|1.090112|0.299936|4.733600|2.639712
546|1.090112|0.299360|4.900096|2.632448
547|1.090112|0.298720|5.029184|2.654112
548|1.090112|0.301344|4.758112|2.719328
549|1.090112|0.302624|4.984608|2.604736
550|1.090112|0.300992|4.974912|2.577568
551|1.090112|0.300000|5.151968|2.612736
552|1.090112|0.303552|4.908480|2.569248
553|1.090112|0.299840|5.243840|2.586784
554|1.090112|0.301344|4.846816|2.654176
555|1.090112|0.299232|5.160352|2.706944
556|1.090112|0.301120|5.126976|2.666784
557|1.090112|0.296832|4.135200|2.662272
558|1.090112|0.299168|4.875552|2.668704
559|1.090112|0.300512|4.775936|2.612864
560|1.090112|0.296352|4.845984|2.629792
561|1.090112|0.298720|4.711744|2.581152
562|1.090112|0.299200|4.005088|2.615360
563|1.090112|0.294720|4.084768|2.615104
564|1.090112|0.301440|4.999104|2.638240
565|1.090112|0.297824|4.765056|2.670496
566|1.090112|0.294688|4.847616|2.629184
567|1.090112|0.301408|4.716576|2.625024
568|1.090112|0.303520|4.940896|2.532928
569|1.090112|0.301984|4.926112|2.679360
570|1.090112|0.297280|5.116000|2.590048
571|1.090112|0.301440|4.801152|2.664224
572|1.090112|0.297472|4.690368|2.613024
573|1.090112|0.294944|4.087232|2.582240
574|1.090112|0.296992|4.775168|2.721984
575|1.090112|0.298688|4.931456|2.670112
576|1.090112|0.300032|4.799840|2.795616
577|1.090112|0.295040|4.077856|2.653280
578|1.090112|0.298464|4.066560|2.624800
579|1.090112|0.299488|4.838272|2.650720
580|1.090112|0.299744|4.811776|2.737952
581|1.090112|0.301504|4.766176|2.720768
582|1.090112|0.299680|5.016768|2.589952
583|1.090112|0.296928|4.943456|2.682752
584|1.090112|0.304512|5.177440|2.706080
585|1.090112|0.302688|4.845408|2.642176
586|1.090112|0.297600|4.577888|2.632192
587|1.090112|0.298272|4.936064|2.709760
588|1.090112|0.302656|4.700416|2.637376
589|1.090112|0.299040|4.695552|2.636384
590|1.090112|0.299904|4.833184|2.649344
591|1.090112|0.299840|5.243200|2.630400
592|1.090112|0.295936|4.120384|2.647392
593|1.090112|0.299648|4.839328|2.638080
