PROBLEM NAME:  W5-TTP
SOLUTIONS PER GENERATION: 100
CITIES: 5
ITEMS: 4
ITEMS PER CITY: 1
EVOLUTIONS: 100
TOURNAMENT SIZE: 50
PARENTS PER GENERATIONS: 4
LOCAL SEARCH PROBABILITY: 0.200000


INITIAL POPULATION FOR  W5-TTP
RUNTIME: 0.858560 ms
Individual 73: 1, 3[1], 4[1], 5[0], 2[1], 1 Profit: -15440.000000 - Revenue: -390.000000 - Time: 6020.000000 - Distance: 602.000000
Individual 74: 1, 4[0], 5[0], 2[1], 3[0], 1 Profit: -119.489578 - Revenue: 40.000000 - Time: 63.795831 - Distance: 29.732137
Individual 75: 1, 2[0], 5[1], 3[1], 4[0], 1 Profit: -40.880549 - Revenue: 330.000000 - Time: 148.352220 - Distance: 34.058773
Individual 76: 1, 5[0], 3[0], 2[0], 4[0], 1 Profit: -160.298755 - Revenue: 0.000000 - Time: 64.119502 - Distance: 34.058773
Individual 77: 1, 2[1], 4[1], 5[1], 3[0], 1 Profit: -78.389795 - Revenue: 120.000000 - Time: 79.355918 - Distance: 29.732137
Individual 78: 1, 3[0], 2[1], 5[1], 4[1], 1 Profit: -74.017027 - Revenue: 120.000000 - Time: 77.606811 - Distance: 34.058773
Individual 79: 1, 5[0], 3[1], 4[0], 2[0], 1 Profit: -51.825412 - Revenue: 300.000000 - Time: 140.730165 - Distance: 15.620499
Individual 80: 1, 4[1], 5[0], 3[1], 2[0], 1 Profit: -15350.000000 - Revenue: -350.000000 - Time: 6000.000000 - Distance: 600.000000
Individual 81: 1, 4[1], 5[1], 3[0], 2[0], 1 Profit: -119.063516 - Revenue: 80.000000 - Time: 79.625407 - Distance: 15.620499
Individual 82: 1, 4[1], 3[0], 5[1], 2[0], 1 Profit: -101.901937 - Revenue: 80.000000 - Time: 72.760775 - Distance: 15.620499
Individual 83: 1, 2[0], 4[0], 3[0], 5[0], 1 Profit: -126.595301 - Revenue: 0.000000 - Time: 50.638120 - Distance: 17.204651
Individual 84: 1, 3[0], 4[1], 2[1], 5[0], 1 Profit: -114.772270 - Revenue: 90.000000 - Time: 81.908908 - Distance: 17.204651
Individual 85: 1, 5[1], 2[1], 3[0], 4[0], 1 Profit: -82.375912 - Revenue: 70.000000 - Time: 60.950365 - Distance: 34.058773
Individual 86: 1, 5[0], 3[1], 2[0], 4[1], 1 Profit: -15350.000000 - Revenue: -350.000000 - Time: 6000.000000 - Distance: 600.000000
Individual 87: 1, 4[1], 5[0], 3[0], 2[0], 1 Profit: -135.388974 - Revenue: 50.000000 - Time: 74.155590 - Distance: 15.620499
Individual 88: 1, 5[0], 3[0], 4[1], 2[0], 1 Profit: -113.849383 - Revenue: 50.000000 - Time: 65.539753 - Distance: 15.620499
Individual 89: 1, 2[0], 4[0], 3[1], 5[0], 1 Profit: 73.104037 - Revenue: 300.000000 - Time: 90.758385 - Distance: 17.204651
Individual 90: 1, 3[0], 2[0], 5[1], 4[1], 1 Profit: -113.354327 - Revenue: 80.000000 - Time: 77.341731 - Distance: 34.058773
Individual 91: 1, 3[0], 2[1], 4[0], 5[1], 1 Profit: -91.759476 - Revenue: 70.000000 - Time: 64.703790 - Distance: 17.204651
Individual 92: 1, 3[0], 4[1], 5[0], 2[0], 1 Profit: -113.229858 - Revenue: 50.000000 - Time: 65.291943 - Distance: 15.620499
Individual 93: 1, 4[1], 5[1], 3[0], 2[1], 1 Profit: -79.282783 - Revenue: 120.000000 - Time: 79.713113 - Distance: 15.620499
Individual 94: 1, 2[1], 5[1], 3[1], 4[1], 1 Profit: -16470.000000 - Revenue: -420.000000 - Time: 6420.000000 - Distance: 642.000000
Individual 95: 1, 5[0], 4[0], 3[1], 2[1], 1 Profit: 89.789359 - Revenue: 340.000000 - Time: 100.084256 - Distance: 15.620499
Individual 96: 1, 2[1], 5[1], 3[1], 4[1], 1 Profit: -16470.000000 - Revenue: -420.000000 - Time: 6420.000000 - Distance: 642.000000
Individual 97: 1, 2[1], 5[0], 3[1], 4[0], 1 Profit: 46.387886 - Revenue: 340.000000 - Time: 117.444846 - Distance: 34.058773
Individual 98: 1, 2[0], 4[1], 3[1], 5[1], 1 Profit: -16380.000000 - Revenue: -380.000000 - Time: 6400.000000 - Distance: 640.000000
Individual 99: 1, 2[1], 3[0], 5[1], 4[1], 1 Profit: -48.840915 - Revenue: 120.000000 - Time: 67.536366 - Distance: 34.058773

FITTEST OF GENERATION 0
Fittest: 1, 2[1], 5[0], 4[0], 3[1], 1 Profit: 116.918711 - Revenue: 340.000000 - Time: 89.232516 - Distance: 29.732137

PARENTS FOR GENERATION 1
RUNTIME: 0.777696 ms
Parent 0: 1, 2[0], 5[1], 3[1], 4[0], 1 Profit: -40.880549 - Revenue: 330.000000 - Time: 148.352220 - Distance: 34.058773
Parent 1: 1, 2[1], 5[0], 4[0], 3[1], 1 Profit: 116.918711 - Revenue: 340.000000 - Time: 89.232516 - Distance: 29.732137
Parent 2: 1, 2[1], 5[0], 4[0], 3[1], 1 Profit: 116.918711 - Revenue: 340.000000 - Time: 89.232516 - Distance: 29.732137
Parent 3: 1, 4[0], 5[0], 2[1], 3[1], 1 Profit: 83.348323 - Revenue: 340.000000 - Time: 102.660671 - Distance: 29.732137

POPULATION FOR GENERATION 1
CROSSOVER RUNTIME: 2.214976 ms
LOCAL SEARCH RUNTIME: 2.104992 ms
Individual 0: 1, 2[1], 5[0], 4[0], 3[1], 1 Profit: 116.918711 - Revenue: 340.000000 - Time: 89.232516 - Distance: 29.732137
Individual 1: 1, 2[1], 5[0], 4[0], 3[1], 1 Profit: 116.918711 - Revenue: 340.000000 - Time: 89.232516 - Distance: 29.732137
Individual 2: 1, 5[0], 4[0], 2[1], 3[1], 1 Profit: 82.836811 - Revenue: 340.000000 - Time: 102.865276 - Distance: 29.732137
