EVOLUTION|INITIALPOP TIME|SELECTION TIME|CROSSOVER TIME|LOCALSEARCH TIME
337|5.294912|0.143488|3.273536|1.855904
338|5.294912|0.143392|3.267680|1.860320
339|5.294912|0.146400|3.416192|1.872000
340|5.294912|0.142784|3.114304|1.850304
341|5.294912|0.144800|3.495648|1.879488
342|5.294912|0.146144|3.532576|1.853152
343|5.294912|0.141184|3.440544|1.850848
344|5.294912|0.144320|3.457152|1.866144
345|5.294912|0.144000|3.318272|1.856768
346|5.294912|0.144064|3.350016|1.851360
347|5.294912|0.142784|3.306240|1.857888
348|5.294912|0.143200|3.303712|1.861152
349|5.294912|0.145408|3.428768|1.852448
350|5.294912|0.140864|3.384224|1.857376
351|5.294912|0.145216|3.395232|1.863648
352|5.294912|0.143840|3.346336|1.872864
353|5.294912|0.143968|3.322272|1.852928
354|5.294912|0.143904|3.388064|1.861888
355|5.294912|0.145376|3.546144|1.863328
356|5.294912|0.145280|3.224928|1.858752
357|5.294912|0.143712|3.450336|1.858944
358|5.294912|0.155328|3.423328|1.860544
359|5.294912|0.144096|3.382688|1.880384
360|5.294912|0.144128|3.105312|1.854528
361|5.294912|0.143776|3.343488|1.856576
362|5.294912|0.145088|3.436416|1.851712
363|5.294912|0.144224|3.383584|1.862016
364|5.294912|0.143072|3.263104|1.863296
365|5.294912|0.146112|3.506528|1.866592
366|5.294912|0.144736|3.441312|1.860576
367|5.294912|0.144928|3.461568|1.856032
368|5.294912|0.150752|3.226560|1.856960
369|5.294912|0.145312|3.430592|1.852832
370|5.294912|0.144896|3.553408|1.861280
371|5.294912|0.139904|3.215616|1.866560
372|5.294912|0.144896|3.472160|1.863840
373|5.294912|0.145312|3.470240|1.861248
374|5.294912|0.147136|3.381664|1.850464
375|5.294912|0.145152|3.419456|1.871168
376|5.294912|0.144256|3.378912|1.858272
377|5.294912|0.141600|3.399840|1.852416
378|5.294912|0.143168|3.472256|1.856576
379|5.294912|0.144480|3.252512|1.861152
380|5.294912|0.147008|3.424992|1.855040
381|5.294912|0.157888|3.469792|1.859008
382|5.294912|0.145344|3.406848|1.868000
383|5.294912|0.157856|3.344512|1.853792
384|5.294912|0.148160|3.547584|1.879328
385|5.294912|0.145248|3.313312|1.857952
386|5.294912|0.144640|3.346272|1.857248
387|5.294912|0.143968|3.311232|1.863328
388|5.294912|0.145344|3.448512|1.861536
389|5.294912|0.143520|3.331552|1.851904
390|5.294912|0.145856|3.505504|1.865568
391|5.294912|0.145728|3.556576|1.870112
392|5.294912|0.146976|3.459648|1.862656
393|5.294912|0.143936|3.283200|1.857952
394|5.294912|0.144128|3.464544|1.864832
395|5.294912|0.144032|3.327776|1.859584
396|5.294912|0.144320|3.293056|1.858304
397|5.294912|0.145216|3.361184|1.862784
398|5.294912|0.145760|3.436672|1.858080
399|5.294912|0.148512|3.233184|1.860128
400|5.294912|0.145536|3.460896|1.869792
401|5.294912|0.143200|3.457984|1.850944
402|5.294912|0.153376|3.461024|1.858624
403|5.294912|0.144544|3.459840|1.876736
404|5.294912|0.146912|3.319424|1.854176
405|5.294912|0.145440|3.470336|1.855872
406|5.294912|0.149184|3.559488|1.856416
